,patent
1531,4719446
1532,4806615
1533,4748655
1534,4925763
1535,5514074
1536,4612370
1537,5764985
1538,5658670
1539,5331947
1540,5155393
1541,5759174
1542,5865728
1543,5317065
1544,4940983
1545,5160490
1546,4049447
1547,5645684
1548,5214766
1549,4739011
1550,5451683
1551,5858778
1552,5792331
1553,5027290
1554,5763186
1555,5095752
1556,5795591
1557,4815464
1558,5423801
1559,5177300
1560,5603066
1561,4056653
1562,3598123
1563,5646326
1564,5822574
1565,5422159
1566,4304068
1567,5654248
1568,5366737
1569,5673426
1570,4940971
1571,5347653
1572,5858367
1573,5733304
1574,4721849
1575,5608839
1576,5812656
1577,4879416
1578,5981136
1579,5668986
1580,4196091
1581,4698572
1582,5030452
1583,5812810
1584,5232830
1585,5710634
1586,5349680
1587,5057411
1588,5690674
1589,5575815
1590,5021938
1591,4478883
1592,5796381
1593,4915979
1594,3900723
1595,5637698
1596,5484884
1597,5742914
1598,5871928
1599,4623692
1600,4567892
1601,5157419
1602,4386612
1603,5494677
1604,6008101
1605,5607805
1606,5547476
1607,5644188
1608,5328868
1609,6009151
1610,4368476
1611,5144576
1612,4892861
1613,5212047
1614,5093239
1615,5345586
1616,5100042
1617,4435528
1618,5968799
1619,4884501
1620,4833646
1621,5949971
1622,4888771
1623,6002689
1624,4013476
1625,4566106
1626,4868746
1627,5920788
1628,4564897
1629,4816041
1630,4466846
1631,5732353
1632,4737778
1633,4669466
1634,4775999
1635,3880763
1636,5165012
1637,5432948
1638,5844590
1639,4810643
1640,4547618
1641,5432073
1642,4116947
1643,4903147
1644,5794233
1645,4349902
1646,5988785
1647,5423042
1648,4803117
1649,5060671
1650,5306565
1651,4251989
1652,4111206
1653,5972604
1654,5465629
1655,5480407
1656,5071554
1657,5884078
1658,5960455
1659,5954715
1660,5173356
1661,5657389
1662,5867238
1663,5817911
1664,5992970
1665,5006405
1666,5038300
1667,4915736
1668,5295994
1669,5843932
1670,4613721
1671,5350362
1672,4857629
1673,5405743
1674,5043940
1675,5492805
1676,5658862
1677,5966475
1678,5191883
1679,4299938
1680,5590356
1681,5529953
1682,5822564
1683,5952541
1684,4934381
1685,5859152
1686,5554485
1687,5412093
1688,4587284
1689,4626545
1690,5473856
1691,5217985
1692,4206909
1693,4668834
1694,4192725
1695,5866031
1696,4791180
1697,5153463
1698,5023263
1699,4555811
1700,5204757
1701,5275621
1702,5977791
1703,3893814
1704,5187261
1705,5592409
1706,5039607
1707,5859227
1708,5490836
1709,4438572
1710,5073610
1711,4713272
1712,5262398
1713,5185137
1714,5238811
1715,4252592
1716,5780462
1717,5227229
1718,5383909
1719,5223329
1720,5742892
1721,5942235
1722,5810764
1723,5603037
1724,4837677
1725,5534445
1726,5502158
1727,5824718
1728,5854790
1729,4752557
1730,5697958
1731,4748291
1732,5403346
1733,5265213
1734,4794579
1735,5399178
1736,4140126
1737,5680343
1738,5755774
1739,5972549
1740,4753569
1741,5534328
1742,5449508
1743,5533320
1744,5626590
1745,5274148
1746,5124545
1747,4018699
1748,4791913
1749,4834814
1750,5630052
1751,5217441
1752,5394551
1753,4650827
1754,4873006
1755,4834752
1756,5168380
1757,4499479
1758,5529904
1759,5066558
1760,4370983
1761,5326348
1762,5797880
1763,5662675
1764,4116671
1765,5380751
1766,5195091
1767,5689581
1768,5710224
1769,4929480
1770,5586294
1771,4828583
1772,5206149
1773,4120567
1774,5531902
1775,5527423
1776,4494233
1777,5812830
1778,5612050
1779,5616381
1780,5279521
1781,4707445
1782,4769519
1783,5978258
1784,4371786
1785,4247427
1786,4505718
1787,3921333
1788,5193546
1789,4182838
1790,5210549
1791,5979708
1792,5250330
1793,5842137
1794,4698746
1795,5147757
1796,5167019
1797,5497175
1798,5602379
1799,4411954
1800,5571618
1801,4293539
1802,5123421
1803,4691006
1804,5814072
1805,5643240
1806,3992407
1807,5247325
1808,4631308
1809,5638327
1810,5799151
1811,5673408
1812,4598011
1813,4855179
1814,5944813
1815,5496311
1816,4929700
1817,4866003
1818,5576951
1819,5441598
1820,4809296
1821,4713360
1822,5072452
1823,5015483
1824,4782376
1825,5371162
1826,4918736
1827,5502219
1828,5648805
1829,4105535
1830,5578614
1831,4774176
1832,4106032
1833,4314072
1834,5634133
1835,4849807
1836,5569243
1837,5394523
1838,5380473
1839,4942319
1840,5522843
1841,5256543
1842,5859901
1843,5935864
1844,4912647
1845,5242394
1846,5995097
1847,4436667
1848,4985178
1849,5438166
1850,4722053
1851,5383931
1852,4335234
1853,5943688
1854,5545509
1855,5587463
1856,5625180
1857,5754207
1858,4953548
1859,4581420
1860,4314827
1861,5247347
1862,5550133
1863,4818709
1864,5418092
1865,5975677
1866,5935135
1867,5737538
1868,5151930
1869,4611386
1870,5210462
1871,5376164
1872,4340503
1873,5287136
1874,5998085
1875,4750109
1876,5774414
1877,5865768
1878,5283639
1879,4891340
1880,5345403
1881,5574670
1882,5030689
1883,4097634
1884,5055258
1885,5167811
1886,4847805
1887,5519435
1888,5701313
1889,5944770
1890,4675810
1891,5962215
1892,5981719
1893,4796979
1894,4782162
1895,5813033
1896,4614796
1897,5274480
1898,5699370
1899,5527762
1900,4843118
1901,5976428
1902,5266641
1903,5817123
1904,5811178
1905,4339270
1906,5956641
1907,5547924
1908,5758116
1909,5800810
1910,4251348
1911,5928368
1912,5478717
1913,4868822
1914,5399701
1915,5408419
1916,5668203
1917,5728155
1918,4013004
1919,5643366
1920,4194892
1921,3956633
1922,4773035
1923,5085213
1924,4385829
1925,4601284
1926,5935936
1927,5578081
1928,4684570
1929,4136071
1930,5324035
1931,5729219
1932,5589993
1933,5418969
1934,4895689
1935,4533540
1936,4139567
1937,4807135
1938,4243530
1939,5512229
1940,5997612
1941,4829181
1942,5838943
1943,5302543
1944,5202264
1945,4665913
1946,5954815
1947,4870444
1948,4656342
1949,5067149
1950,5035694
1951,5312911
1952,5974433
1953,5692193
1954,5374531
1955,5482369
1956,4347498
1957,5393804
1958,5841219
1959,3338992
1960,4942883
1961,4406816
1962,5115463
1963,5957863
1964,5630206
1965,5432495
1966,5854593
1967,4578245
1968,4884132
1969,4600741
1970,5550905
1971,4357179
1972,4243677
1973,5776129
1974,5214567
1975,5078684
1976,5647863
1977,5455912
1978,5809544
1979,5240747
1980,5082700
1981,5810970
1982,6009074
1983,5798113
1984,3904104
1985,5658268
1986,5594557
1987,5196576
1988,4298756
1989,4965611
1990,5300959
1991,4732877
1992,5156912
1993,5617561
1994,5515515
1995,4698763
1996,4259468
1997,4848637
1998,5960196
1999,3945833
2000,5724501
2001,5827876
2002,4251990
2003,5220512
2004,5521621
2005,4808168
2006,4469895
2007,5820282
2008,5959641
2009,5673156
2010,5888857
2011,5225091
2012,5911526
2013,5788686
2014,4547461
2015,3919110
2016,5216233
2017,4407640
2018,5028810
2019,5762669
2020,4938786
2021,5028579
2022,5392438
2023,5205287
2024,5593841
2025,4904895
2026,5409870
2027,5614480
2028,5301348
2029,5987326
2030,3992406
2031,4367876
2032,5965410
2033,4849199
2034,5193184
2035,5358997
2036,5552111
2037,5800510
2038,4279249
2039,5997120
2040,5386028
2041,4249933
2042,5866099
2043,5998558
2044,5731882
2045,4945383
2046,4091332
2047,5841978
2048,5122565
2049,5617570
2050,5692020
2051,5776686
2052,5726893
2053,5261423
2054,4056576
2055,5140626
2056,4982275
2057,5154166
2058,5790807
2059,4445500
2060,5985698
2061,5284809
2062,5732219
2063,4367676
2064,5501691
2065,4805016
2066,5260002
2067,4741012
2068,5944934
2069,5809281
2070,5109392
2071,5180898
2072,5850258
2073,5300812
2074,5505057
2075,5348010
2076,5084002
2077,5185599
2078,4391909
2079,6004301
2080,5526269
2081,5154724
2082,4269747
2083,5294722
2084,4788717
2085,5954234
2086,4806312
2087,5492959
2088,5843580
2089,5839100
2090,5997523
2091,5821740
2092,4795436
2093,5416331
2094,3910276
2095,5287199
2096,5409874
2097,5120727
2098,4310600
2099,4246398
2100,4654482
2101,5916017
2102,5198644
2103,4706216
2104,5359643
2105,5682866
2106,4142978
2107,5871902
2108,5904706
2109,4008107
2110,4661561
2111,4930550
2112,5837103
2113,4872005
2114,5318696
2115,4944443
2116,5677547
2117,3966574
2118,5287127
2119,5379776
2120,4648699
2121,4780515
2122,5369022
2123,4801930
2124,4543308
2125,5002935
2126,5447846
2127,5605749
2128,5303351
2129,4959265
2130,4508901
